ticker,options_volume,options_volume_call,options_volume_put,volume_put_call_ratio,open_interest,open_interest_call,open_interest_put,open_interest_put_call_ratio,iv_rank,implied_volatility_30d,,,,
HUT,16370,13800,2570,0.186231884,217724,156273,61451,0.393228517,48.83820998,90.03571429,,ERR,ERR,ERR
COP,16336,7527,8809,1.170320181,326465,174974,151491,0.865791489,22.8956699,30.90571429,,,,
NCLH,16315,7219,9096,1.260008311,477224,210043,267181,1.272030013,16.918023,44.94,,,,
CLOV,16150,14124,2026,0.143443784,230350,193324,37026,0.191523039,3.786048276,54.61857143,,,,
TJX,15921,6060,9861,1.627227723,174531,79458,95073,1.196518916,41.34615385,25.3,,ERR,ERR,ERR
KSS,15876,7316,8560,1.170038272,378415,212175,166240,0.783504183,90.1059758,98.61142857,,ERR,ERR,ERR
VFC,15874,10382,5492,0.528992487,320177,198726,121451,0.611148013,41.76290565,76.85857143,,ERR,ERR,ERR
CARR,15757,3522,12235,3.473878478,93560,61336,32224,0.525368462,7.113568651,24.82501742,,,,
MS,15598,9182,6416,0.69875844,592783,272489,320294,1.175438275,14.39004815,26.17428571,,,,
AAP,15403,4648,10755,2.313898451,84692,47634,37058,0.777973716,59.52455427,73.69,,ERR,ERR,ERR
NXT,15272,7410,7862,1.06099865,100203,64098,36105,0.563278105,12.30375602,48.37554007,,,,
CEG,14953,9515,5438,0.571518655,203842,84825,119017,1.403088712,26.545826,48.76857143,,,,
ANET,14840,9133,5707,0.62487682,482778,242388,240390,0.991757018,23.4907247,42.31857143,,,,
LUNR,14836,10013,4823,0.481673824,190823,151927,38896,0.256017693,23.97147232,80.16571429,,,,
ALT,14833,10168,4665,0.45879229,190801,142447,48354,0.339452568,42.99295516,153.8028571,,ERR,ERR,ERR
AKAM,14718,2017,12701,6.296975706,111098,68001,43097,0.633770092,22.80751351,29.92285714,,,,
ROKU,14700,9328,5372,0.575900515,215404,102601,112803,1.099433729,17.43216848,49.34714286,,,,
STX,14143,9165,4978,0.543153301,144796,69325,75471,1.088654886,16.00424084,35.20285714,,,,
KMI,14135,10274,3861,0.375802998,499589,280848,218741,0.778859027,34.6853564,25.36142857,,ERR,ERR,ERR
JBLU,13988,7895,6093,0.771754275,495779,294340,201439,0.684375212,39.35578591,73.29142857,,ERR,ERR,ERR
MOS,13797,11225,2572,0.229131403,197367,95060,102307,1.076236061,9.931264172,28.26428571,,,,
OSCR,13673,10984,2689,0.244810634,168397,120961,47436,0.392159456,14.46754349,66.55,,,,
BTBT,13452,12163,1289,0.105977144,167644,144293,23351,0.161830442,4.023708431,91.26857143,,,,
GEV,13346,7182,6164,0.858256753,135981,75333,60648,0.805065509,15.35082728,47.17714286,,,,
DECK,13302,7312,5990,0.819201313,116376,74662,41714,0.558704562,53.81205063,59.68571429,,ERR,ERR,ERR
DDOG,13216,8552,4664,0.545369504,349573,177217,172356,0.972570352,14.96033942,36.62,,,,
IGT,13102,8201,4901,0.597610048,188574,169156,19418,0.114793445,34.95627796,44.44989547,,ERR,ERR,ERR
PM,12903,9499,3404,0.358353511,235327,138653,96674,0.697236987,24.62496323,21.62571429,,,,
GAP,12729,7544,5185,0.687301166,196919,83219,113700,1.366274529,50.1574081,62.77571429,,ERR,ERR,ERR
EA,12702,9003,3699,0.410863046,144456,70894,73562,1.03763365,14.80783575,20.80857143,,,,
MCHP,12613,10687,1926,0.180218958,320741,187445,133296,0.711120595,26.52416077,42.96,,,,
LULU,12596,6018,6578,1.093054171,162571,69967,92604,1.323538239,55.76270695,52.41428571,,ERR,ERR,ERR
COF,12435,8150,4285,0.525766871,134537,73186,61351,0.838288744,16.92416097,30.83428571,,,,
EVLV,12358,11869,489,0.041199764,56791,44835,11956,0.266666667,32.03611651,95.94592334,,ERR,ERR,ERR
GILD,12277,7825,4452,0.568945687,247833,124865,122968,0.984807592,53.62273579,35.12,,ERR,ERR,ERR
